Date : 2025-10-15 17:36:33
Directory : e:\WEB\Project-Shop-Spring-Boot
Total : 61 files,  5482 codes, 436 comments, 672 blanks, all 6590 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| HTML            |         31 |      2,750 |        210 |        283 |      3,243 |
| JavaScript      |         10 |      1,963 |        101 |        224 |      2,288 |
| Java            |         13 |        273 |         29 |         79 |        381 |
| XML             |          2 |        209 |         28 |         33 |        270 |
| Batch           |          1 |        139 |         26 |         25 |        190 |
| CSS             |          2 |        105 |          5 |         14 |        124 |
| Java Properties |          2 |         43 |         37 |         14 |         94 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         61 |      5,482 |        436 |        672 |      6,590 |
| . (Files)                                                                                                |          3 |        348 |         54 |         58 |        460 |
| .mvn                                                                                                     |          1 |          3 |          0 |          1 |          4 |
| .mvn\wrapper                                                                                             |          1 |          3 |          0 |          1 |          4 |
| src                                                                                                      |         57 |      5,131 |        382 |        613 |      6,126 |
| src\main                                                                                                 |         56 |      5,122 |        382 |        608 |      6,112 |
| src\main\java                                                                                            |         12 |        264 |         29 |         74 |        367 |
| src\main\java\com                                                                                        |         12 |        264 |         29 |         74 |        367 |
| src\main\java\com\example                                                                                |         12 |        264 |         29 |         74 |        367 |
| src\main\java\com\example\spring_boot                                                                    |         12 |        264 |         29 |         74 |        367 |
| src\main\java\com\example\spring_boot (Files)                                                            |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\example\spring_boot\configs                                                            |          3 |         95 |         11 |         20 |        126 |
| src\main\java\com\example\spring_boot\controllers                                                        |          8 |        160 |         18 |         49 |        227 |
| src\main\resources                                                                                       |         44 |      4,858 |        353 |        534 |      5,745 |
| src\main\resources (Files)                                                                               |          1 |         40 |         37 |         13 |         90 |
| src\main\resources\static                                                                                |         12 |      2,068 |        106 |        238 |      2,412 |
| src\main\resources\static\css                                                                            |          2 |        105 |          5 |         14 |        124 |
